"산업중분류별(1)",산업중분류별(2),2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
"산업중분류별(1)",산업중분류별(2),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?),사업장수 (개소),근로자수 (명),요양재해자수 (명),사망자수 (명),요양재해율 (%),사망만인율 (?)
"기타의 사업",전문·보건·교육·여가관련서비스업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,423927,3638317,7014,71,0.19,0.20,445408,3814557,8584,89,0.23,0.23,467357,4101714,10318,73,0.25,0.18
"기타의 사업",보건 및 사회복지사업,147106,1467018,2929,13,0.20,0.09,149944,1550008,3670,23,0.24,0.15,153232,1634003,4228,12,0.26,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",교육서비스업,50525,309399,496,5,0.16,0.16,54305,325317,605,3,0.19,0.09,57351,328578,691,5,0.21,0.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",도·소매 및 소비자용품수리업,486285,1960720,5680,45,0.29,0.23,511314,2050786,6939,78,0.34,0.38,527998,2049430,7722,56,0.38,0.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",도소매·음식·숙박업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,878114,3306155,18592,117,0.56,0.35,901995,3288485,20569,122,0.63,0.37,943647,3411267,21325,114,0.63,0.33
"기타의 사업",부동산업 및 임대업,47363,121179,176,7,0.15,0.58,51677,129366,214,2,0.17,0.15,54647,129014,247,4,0.19,0.31,58911,131325,230,3,0.18,0.23,63391,138831,242,10,0.17,0.72,67092,151248,304,10,0.20,0.66
"기타의 사업",오락·문화 및 운동관련사업,36526,259985,839,10,0.32,0.38,39795,274751,1003,8,0.37,0.29,44458,283475,1161,8,0.41,0.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",국가 및 지방자치단체의 사업,42864,496577,2898,16,0.58,0.32,32434,475963,3594,20,0.76,0.42,31554,514653,4358,19,0.85,0.37,33406,608270,4700,22,0.77,0.36,36376,666566,4981,16,0.75,0.24,36328,677769,5191,31,0.77,0.46
"기타의 사업",사업서비스업,-,-,-,-,-,-,98788,952942,2665,45,0.28,0.47,105169,979025,3323,54,0.34,0.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타의 사업",주한미군,175,18812,35,0,0.19,0.00,174,21237,36,0,0.17,0.00,176,21578,57,1,0.26,0.46,175,21535,38,1,0.18,0.46,177,21872,35,2,0.16,0.91,175,21851,51,1,0.23,0.46
"기타의 사업",기타의 각종사업,521236,2852584,12088,111,0.42,0.39,462270,2150360,12483,84,0.58,0.39,489687,2114879,13795,106,0.65,0.50,178019,914065,1711,50,0.19,0.55,187361,940195,1754,40,0.19,0.43,195294,957806,1785,57,0.19,0.60
